id,pt_PT,pt_BR,pt_PT_words,pt_BR_words
47,"Quando saí de casa esta manhã, reparei que tinha deixado as luzes do carro acesas durante a noite.","Quando saí de casa hoje de manhã, percebi que tinha deixado as luzes do carro ligadas durante a noite.",18,19
48,"Ontem, enquanto passeava pelo parque, vi um grupo de crianças a brincar com um cão muito engraçado.","Ontem, enquanto caminhava pelo parque, vi um grupo de crianças brincando com um cachorro muito engraçado.",17,16
49,"Amanhã, depois de almoçarmos, podemos ir visitar aquele museu novo que abriu no centro da cidade.","Amanhã, depois de almoçarmos, podemos visitar aquele museu novo que abriu no centro da cidade.",16,15
50,"Ontem, enquanto esperava pelo autocarro, encontrei um colega da escola que não via há muitos anos.","Ontem, enquanto esperava pelo ônibus, encontrei um colega da escola que não via há muitos anos.",16,16
51,"Amanhã, depois de almoçarmos, podemos ir visitar aquele parque natural que fica a cerca de uma hora daqui.","Amanhã, depois de almoçarmos, podemos visitar aquele parque natural que fica a mais ou menos uma hora daqui.",18,18
52,"Enquanto esperava pelo autocarro, reparei que tinha deixado o telemóvel em casa e voltei para o buscar.","Enquanto esperava o ônibus, percebi que tinha esquecido o celular em casa e voltei para buscá-lo.",17,16
53,"Enquanto esperava pelo táxi, percebi que tinha deixado a minha carteira em casa e voltei para a buscar.","Enquanto esperava o táxi, percebi que tinha esquecido minha carteira em casa e voltei para buscá-la.",18,16
54,Vou buscar pão fresco à padaria.,Vou comprar pão fresco na padaria.,6,6
55,Amanhã vou ao supermercado comprar fruta.,Amanhã vou ao mercado comprar frutas.,6,6
56,Ela está a preparar o jantar para a família.,Ela está preparando o jantar para a família.,9,8
57,O autocarro está atrasado outra vez.,O ônibus está atrasado de novo.,6,6
58,Preciso de carregar o telemóvel antes de sair.,Preciso carregar o celular antes de sair.,8,7
59,Ela gosta de passear à beira-mar.,Ela gosta de passear na beira da praia.,6,8
60,O miúdo perdeu o autocarro para a escola.,O garoto perdeu o ônibus para a escola.,8,8
61,Vou comprar um bilhete para o concerto.,Vou comprar um ingresso para o show.,7,7
62,Preciso de encontrar um lugar para estacionar o carro.,Preciso encontrar um lugar para estacionar o carro.,9,8
63,Ela está a estudar para o exame de matemática.,Ela está estudando para a prova de matemática.,9,8
64,O gato está a dormir no sofá da sala.,O gato está dormindo no sofá da sala.,9,8
65,Vou fazer uma caminhada pela manhã.,Vou fazer uma caminhada de manhã.,6,6
66,Vou ao café buscar um bolo para o lanche.,Vou à padaria comprar um bolo para o lanche.,9,9
67,O autocarro para o aeroporto parte às seis da manhã.,O ônibus para o aeroporto sai às seis da manhã.,10,10
68,O miúdo está a aprender a andar de bicicleta.,O menino está aprendendo a andar de bicicleta.,9,8
69,Vou ao quiosque comprar o jornal da manhã.,Vou à banca comprar o jornal da manhã.,8,8
70,O carro ficou sem gasolina no meio da autoestrada.,O carro ficou sem gasolina no meio da rodovia.,9,9
71,Vou comprar bilhetes para o jogo de futebol.,Vou comprar ingressos para o jogo de futebol.,8,8
72,Ela gosta de tomar chá ao final da tarde.,Ela gosta de tomar chá no fim da tarde.,9,9
73,Vou enviar-te o documento por e-mail.,Vou te enviar o documento por e-mail.,6,7
74,Vou buscar os miúdos à escola às cinco.,Vou buscar as crianças na escola às cinco.,8,8
75,Ela foi ao mercado comprar legumes frescos.,Ela foi ao mercado comprar verduras frescas.,7,7
76,Vou sair para dar um passeio pelo parque.,Vou sair para dar uma volta no parque.,8,8
77,"A loja fecha às oito da noite, temos de nos apressar.","A loja fecha às oito da noite, precisamos nos apressar.",11,10
78,A sopa está demasiado quente para comer agora.,A sopa está quente demais para comer agora.,8,8
79,O cão está a brincar no jardim com a bola.,O cachorro está brincando no quintal com a bola.,10,9
80,Vou preparar um chá quente para o pequeno-almoço.,Vou preparar um chá quente para o café da manhã.,8,10
81,O gato está a dormir em cima da cama.,O gato está dormindo em cima da cama.,9,8
82,Vou sair para correr no parque esta tarde.,Vou sair para correr no parque hoje à tarde.,8,9
83,Podes emprestar-me o teu caderno de apontamentos?,Você pode me emprestar seu caderno de anotações?,7,8
84,Podes ajudar-me a montar este móvel?,Você pode me ajudar a montar este móvel?,6,8
85,A loja fecha às sete da tarde.,A loja fecha às sete da noite.,7,7
86,Ele foi ao café buscar um galão.,Ele foi à padaria buscar um pingado.,7,7
87,O telemóvel caiu e partiu o ecrã.,O celular caiu e quebrou a tela.,7,7
88,Ela foi à farmácia comprar um remédio.,Ela foi na farmácia comprar um remédio.,7,7
89,Vou levar o cão a passear ao jardim.,Vou levar o cachorro para passear no parque.,8,8
90,O trânsito está muito lento esta manhã.,O trânsito está muito lento hoje de manhã.,7,8
91,Ele está a arrumar os livros na estante.,Ele está organizando os livros na estante.,8,7
92,O telemóvel está a carregar na tomada da sala.,O celular está carregando na tomada da sala.,9,8
93,Ela comprou um bilhete para o jogo de futebol.,Ela comprou um ingresso para o jogo de futebol.,9,9
94,Vou ligar-te mais tarde para combinarmos o jantar.,Vou te ligar mais tarde para combinarmos o jantar.,8,9
95,O cão fugiu do quintal e foi para a rua.,O cachorro fugiu do quintal e foi para a rua.,10,10
96,Ele está a fazer um bolo para o aniversário da mãe.,Ele está fazendo um bolo para o aniversário da mãe.,11,10
97,Vou à pastelaria comprar um bolo de aniversário.,Vou à confeitaria comprar um bolo de aniversário.,8,8
98,Vou à farmácia comprar um remédio para a constipação.,Vou à farmácia comprar um remédio para o resfriado.,9,9
99,Amanhã tenho de ir ao centro de saúde.,Amanhã preciso ir ao posto de saúde.,8,7
100,Vou pedir um táxi para ir ao aeroporto.,Vou chamar um táxi para ir ao aeroporto.,8,8
101,"A sopa está quente, cuidado para não te queimares.","A sopa está quente, cuidado para não se queimar.",9,9
102,Ele foi ao supermercado comprar frutas.,Ele foi ao mercado comprar frutas.,6,6
103,Ela comprou um bilhete para o concerto.,Ela comprou um ingresso para o show.,7,7
104,Vou tomar um duche antes de sair.,Vou tomar um banho antes de sair.,7,7
105,O carro ficou sem gasolina na autoestrada.,O carro ficou sem gasolina na estrada.,7,7
106,Ela vai ao cabeleireiro cortar o cabelo amanhã.,Ela vai ao salão cortar o cabelo amanhã.,8,8
107,Ela pediu um café e um pastel de nata.,Ela pediu um café e um pastel.,9,7
108,Ela adormeceu no sofá a ver televisão.,Ela dormiu no sofá assistindo televisão.,7,6
109,O restaurante serve pratos típicos da cozinha portuguesa.,O restaurante serve pratos típicos da culinária brasileira.,8,8
110,Vou preparar um bolo de chocolate para o lanche.,Vou fazer um bolo de chocolate para o lanche.,9,9
111,O filme que vimos ontem foi muito emocionante.,O filme que assistimos ontem foi muito emocionante.,8,8
112,Amanhã temos de acordar cedo para a viagem.,Amanhã precisamos acordar cedo para a viagem.,8,7
113,Vou enviar uma mensagem ao meu chefe agora.,Vou mandar uma mensagem para o meu chefe agora.,8,9
114,"A viagem de carro até ao Porto foi longa, mas valeu a pena porque a paisagem era absolutamente deslumbrante.","A viagem de carro até o Porto foi longa, mas valeu a pena porque a paisagem era absolutamente deslumbrante.",19,19
115,"Amanhã à tarde, vou levar o carro à oficina para fazer a revisão antes da viagem longa.","Amanhã à tarde, vou levar o carro na oficina para fazer a revisão antes da viagem longa.",17,17
116,"O João decidiu inscrever-se num curso de fotografia, porque sempre teve interesse em aprender a tirar boas fotografias.","O João decidiu se inscrever em um curso de fotografia, porque sempre teve interesse em aprender a tirar boas fotos.",18,20
117,"A biblioteca municipal, que foi renovada recentemente, tem agora um espaço dedicado às crianças com muitos livros e jogos.","A biblioteca municipal, que foi reformada recentemente, agora tem um espaço dedicado às crianças com muitos livros e jogos.",19,19
118,"Apesar de estar muito cansado, ele decidiu ficar até ao final da festa para se despedir de todos.","Apesar de estar muito cansado, ele decidiu ficar até o final da festa para se despedir de todos.",18,18
119,O concerto foi tão emocionante que o público não parava de aplaudir mesmo depois do final.,O show foi tão emocionante que o público não parava de aplaudir mesmo depois do final.,16,16
120,"A exposição de arte contemporânea, que foi inaugurada ontem, estará aberta ao público durante todo o mês.","A exposição de arte contemporânea, que foi inaugurada ontem, ficará aberta ao público durante todo o mês.",17,17
121,"A nova exposição no museu, que inclui obras de artistas contemporâneos, estará aberta ao público até ao final do mês.","A nova exposição no museu, que inclui obras de artistas contemporâneos, ficará aberta ao público até o final do mês.",20,20
122,"A nova exposição de fotografia, que foi inaugurada ontem, está a atrair muitos visitantes de várias cidades.","A nova exposição de fotografia, que foi inaugurada ontem, está atraindo muitos visitantes de várias cidades.",17,16
123,"Quando saí de casa esta manhã, reparei que o meu vizinho estava a plantar flores no jardim dele.","Quando saí de casa hoje de manhã, percebi que meu vizinho estava plantando flores no jardim dele.",18,17
124,"O João disse que vai passar o fim de semana na casa dos avós, que moram numa aldeia perto da serra.","O João disse que vai passar o fim de semana na casa dos avós, que moram em um sítio perto da serra.",21,22
125,"A Maria disse que vai passar o fim de semana na casa da prima, que vive numa aldeia no interior.","A Maria disse que vai passar o fim de semana na casa da prima, que mora em uma cidadezinha no interior.",20,21
126,A Joana contou-me que vai viajar para o Algarve no próximo mês para visitar os avós e descansar.,A Joana me contou que vai viajar para o Nordeste no próximo mês para visitar os avós e descansar.,18,19
127,A Joana contou-me que vai ao médico amanhã de manhã porque tem sentido dores nas costas há dias.,A Joana me contou que vai ao médico amanhã de manhã porque tem sentido dores nas costas há dias.,18,19
128,"Amanhã, antes de irmos ao cinema, podemos passar pela livraria para comprar aquele livro que tanto queres.","Amanhã, antes de irmos ao cinema, podemos passar na livraria para comprar aquele livro que você tanto quer.",17,18
129,"Se continuares a deixar a janela aberta à noite, vais acabar por apanhar uma constipação com este frio.","Se você continuar deixando a janela aberta à noite, vai acabar pegando um resfriado com esse frio.",18,17
130,"Se continuares a deixar as luzes acesas durante a noite, a conta da eletricidade vai ficar muito mais cara este mês.","Se você continuar deixando as luzes acesas durante a noite, a conta de luz vai ficar muito mais cara este mês.",21,21
131,Vou levar o lixo ao contentor lá fora.,Vou levar o lixo para a lixeira lá fora.,8,9
132,A ementa do restaurante tem pratos muito variados.,O cardápio do restaurante tem pratos bem variados.,8,8
133,Amanhã vamos visitar os avós no campo.,Amanhã vamos visitar os avós no interior.,7,7
134,Vou pedir um café e um pastel de nata.,Vou pedir um café e um pão de queijo.,9,9
135,"O restaurante estava cheio, tivemos de esperar.","O restaurante estava lotado, tivemos que esperar.",7,7
136,Vamos fazer um piquenique no parque este fim de semana.,Vamos fazer um piquenique no parque neste fim de semana.,10,10
137,Vamos ao cinema ver aquele filme novo.,Vamos ao cinema assistir àquele filme novo.,7,7
138,Vamos ao jardim passear e aproveitar o bom tempo.,Vamos ao parque passear e aproveitar o bom tempo.,9,9
139,"Podes emprestar-me uma caneta, por favor?","Você pode me emprestar uma caneta, por favor?",6,8
140,Ela adora passear de bicicleta ao fim de semana.,Ela adora andar de bicicleta no fim de semana.,9,9
141,Podes ajudar-me a carregar estas malas?,Você pode me ajudar a carregar essas malas?,6,8
142,"Podes trazer-me um copo de água, por favor?","Você pode me trazer um copo d'água, por favor?",8,9
143,Vou ligar-te assim que chegar a casa.,Vou te ligar assim que chegar em casa.,7,8
144,Vou fazer uma pausa para beber água.,Vou dar uma pausa para beber água.,7,7
145,A aula de hoje foi muito interessante e produtiva.,A aula de hoje foi bem interessante e produtiva.,9,9
146,O Pedro está a aprender a tocar guitarra.,O Pedro está aprendendo a tocar violão.,8,7
147,A Maria está a organizar uma festa de aniversário.,A Maria está organizando uma festa de aniversário.,9,8
148,O café da esquina tem os melhores bolos de chocolate.,A padaria da esquina tem os melhores bolos de chocolate.,10,10
149,Queres ir ao cinema esta noite?,Você quer ir ao cinema hoje à noite?,6,8
150,O trânsito está caótico por causa do acidente.,O trânsito está um caos por causa do acidente.,8,9
151,Amanhã temos de limpar o jardim e cortar a relva.,Amanhã precisamos limpar o quintal e cortar a grama.,10,9
152,O Pedro foi ao ginásio depois do trabalho.,O Pedro foi para a academia depois do trabalho.,8,9
153,Ela adora beber chá ao final da tarde.,Ela adora tomar chá no fim da tarde.,8,8
154,"A Ana acordou cedo e foi à padaria. Comprou pão fresco e um bolo para o pequeno-almoço. No caminho de volta, encontrou uma amiga e ficaram a conversar. Quando chegou a casa, o café já estava pronto e sentaram-se todos à mesa.","A Ana acordou cedo e foi à padaria. Comprou pão fresquinho e um bolo para o café da manhã. No caminho de volta, encontrou uma amiga e ficaram conversando. Quando chegou em casa, o café já estava pronto e todos se sentaram à mesa.",42,44
155,"O Miguel decidiu fazer uma surpresa à irmã no aniversário. Comprou-lhe um bolo de chocolate e decorou a sala com balões. Quando ela chegou a casa, ficou emocionada ao ver tudo preparado. Passaram a noite a celebrar com amigos e família.","O Miguel decidiu fazer uma surpresa para a irmã no aniversário. Ele comprou um bolo de chocolate e decorou a sala com balões. Quando ela chegou em casa, ficou emocionada ao ver tudo pronto. Eles passaram a noite comemorando com amigos e família.",41,43
156,"A Sofia foi ao mercado comprar legumes frescos para o jantar. Escolheu cenouras, batatas e espinafres, e ainda comprou um ramo de flores. Quando chegou a casa, começou a cozinhar uma sopa deliciosa. O aroma espalhou-se por toda a casa.","A Sofia foi ao mercado comprar legumes frescos para o jantar. Ela escolheu cenouras, batatas e espinafre, e ainda comprou um buquê de flores. Quando chegou em casa, começou a preparar uma sopa deliciosa. O cheiro se espalhou por toda a casa.",40,42
157,"O Tiago e os amigos decidiram fazer uma caminhada na serra. O dia estava ensolarado e o ar fresco era revigorante. No topo da montanha, tiraram fotografias e comeram sandes. Voltaram para casa cansados, mas felizes com a aventura.","O Tiago e os amigos decidiram fazer uma trilha na serra. O dia estava ensolarado e o ar fresco era revigorante. No topo da montanha, tiraram fotos e comeram sanduíches. Voltaram para casa cansados, mas felizes com a aventura.",39,39
158,"A Inês encontrou um gatinho abandonado no jardim. Decidiu levá-lo para casa e dar-lhe comida. O pequeno animal parecia muito assustado, mas logo começou a ronronar. Agora, ele já faz parte da família e tem até um nome: Bolinha.","A Inês encontrou um gatinho abandonado no jardim. Ela decidiu levá-lo para casa e dar comida. O pequeno animal parecia muito assustado, mas logo começou a ronronar. Agora ele já faz parte da família e até ganhou um nome: Bolinha.",39,40
159,"O Rui decidiu plantar um pequeno jardim no quintal. Comprou sementes de flores e ervas aromáticas na loja. Passou a tarde a preparar a terra e a regar as plantas. Agora, todos os dias, cuida do jardim e já vê os primeiros rebentos.","O Rui decidiu plantar um pequeno jardim no quintal. Ele comprou sementes de flores e ervas na loja. Passou a tarde preparando a terra e regando as plantas. Agora, todos os dias, cuida do jardim e já vê os primeiros brotos.",43,41
160,"O Tomás encontrou um livro antigo na biblioteca da escola. A capa estava gasta, mas a história parecia interessante. Ele começou a ler e não conseguiu parar até terminar. No dia seguinte, recomendou o livro a todos os amigos.","O Tomás encontrou um livro antigo na biblioteca da escola. A capa estava desgastada, mas a história parecia interessante. Ele começou a ler e não conseguiu parar até terminar. No dia seguinte, recomendou o livro para todos os amigos.",39,39
161,"A Catarina decidiu experimentar uma nova receita de bolo de cenoura. Seguiu todos os passos com cuidado e colocou o bolo no forno. Quando o tirou, estava perfeito e com um cheiro delicioso. A família adorou e pediu para ela fazer mais vezes.","A Catarina decidiu testar uma nova receita de bolo de cenoura. Ela seguiu todos os passos com atenção e colocou o bolo no forno. Quando tirou, estava perfeito e com um cheiro maravilhoso. A família adorou e pediu para ela fazer mais vezes.",43,43
162,"O André foi ao parque com o seu cão, o Max. Enquanto o Max corria atrás da bola, o André lia um livro. De repente, o cão voltou com um chapéu na boca. Um senhor agradeceu ao André por o ter encontrado.","O André foi ao parque com seu cachorro, o Max. Enquanto o Max corria atrás da bola, o André lia um livro. De repente, o cachorro voltou com um chapéu na boca. Um senhor agradeceu ao André por tê-lo encontrado.",42,40
163,"A Mariana passou a manhã a organizar a sua estante de livros. Separou os romances das biografias e limpou o pó das prateleiras. No final, ficou satisfeita com o resultado e tirou uma fotografia. Agora, a estante está impecável e cheia de cor.","A Mariana passou a manhã organizando sua estante de livros. Ela separou os romances das biografias e limpou o pó das prateleiras. No final, ficou satisfeita com o resultado e tirou uma foto. Agora, a estante está impecável e cheia de cores.",43,42
164,"O Diogo foi ao mercado comprar ingredientes para o jantar. Escolheu os melhores legumes e um bom pedaço de carne. Quando chegou a casa, começou a cozinhar e o cheiro espalhou-se pela cozinha. O jantar foi um sucesso e todos elogiaram a comida.","O Diogo foi ao mercado comprar ingredientes para o jantar. Ele escolheu os melhores legumes e um bom pedaço de carne. Quando chegou em casa, começou a cozinhar e o cheiro tomou conta da cozinha. O jantar foi um sucesso e todos elogiaram a comida.",43,45
165,"A Sara decidiu aprender a tocar piano. Inscreveu-se numa escola de música e começou as aulas. No início, teve dificuldade em tocar as notas certas, mas não desistiu. Agora, já consegue tocar as suas músicas favoritas com facilidade.","A Sara decidiu aprender a tocar piano. Ela se matriculou em uma escola de música e começou as aulas. No início, teve dificuldade em acertar as notas, mas não desistiu. Agora, já consegue tocar suas músicas favoritas com facilidade.",38,39
166,"O Luís e a Clara foram acampar no fim de semana. Montaram a tenda perto de um rio e fizeram uma fogueira. À noite, contaram histórias e observaram as estrelas. Foi uma experiência inesquecível para os dois.","O Luís e a Clara foram acampar no fim de semana. Eles montaram a barraca perto de um rio e fizeram uma fogueira. À noite, contaram histórias e observaram as estrelas. Foi uma experiência inesquecível para os dois.",37,38
167,"O Francisco encontrou uma bicicleta antiga no sótão da avó. Decidiu restaurá-la e passou dias a limpá-la e a pintá-la. Quando terminou, a bicicleta parecia nova e ele foi dar uma volta. Sentiu-se muito orgulhoso do seu trabalho.","O Francisco encontrou uma bicicleta antiga no sótão da avó. Ele decidiu restaurá-la e passou dias limpando e pintando. Quando terminou, a bicicleta parecia nova e ele saiu para dar uma volta. Ficou muito orgulhoso do seu trabalho.",38,38
168,"A Catarina passou a tarde a pintar um quadro para a sala. Escolheu cores vivas e desenhou um campo cheio de flores. Quando terminou, pendurou o quadro na parede e ficou a admirar o seu trabalho. Todos elogiaram o talento dela.","A Catarina passou a tarde pintando um quadro para a sala. Ela escolheu cores vibrantes e desenhou um campo cheio de flores. Quando terminou, pendurou o quadro na parede e ficou admirando seu trabalho. Todos elogiaram o talento dela.",41,39
169,O Miguel decidiu fazer uma surpresa para os pais. Preparou o pequeno-almoço e levou-o para a cama deles. Eles ficaram muito felizes e agradeceram-lhe com um grande abraço. Foi um início de dia cheio de sorrisos e alegria.,O Miguel decidiu fazer uma surpresa para os pais. Ele preparou o café da manhã e levou para eles na cama. Eles ficaram muito felizes e o agradeceram com um grande abraço. Foi um começo de dia cheio de sorrisos e alegria.,38,42
170,A Inês encontrou um álbum de fotografias antigas no sótão. Passou horas a olhar para as imagens e a recordar momentos felizes. Algumas fotografias eram dos avós quando eram jovens. Decidiu digitalizá-las para as guardar com mais segurança.,A Inês encontrou um álbum de fotos antigas no sótão. Ela passou horas olhando as imagens e relembrando momentos felizes. Algumas fotos eram dos avós quando eram jovens. Ela decidiu digitalizá-las para guardá-las com mais segurança.,38,36
171,"A Rita foi ao mercado de Natal com os amigos. Comprou decorações para a árvore e provou um bolo típico. Depois, tiraram fotografias junto às luzes e às barracas decoradas. Foi uma noite mágica que ela nunca vai esquecer.","A Rita foi à feira de Natal com os amigos. Ela comprou enfeites para a árvore e experimentou um bolo típico. Depois, tiraram fotos perto das luzes e das barracas decoradas. Foi uma noite mágica que ela nunca vai esquecer.",39,40
