span,count,decision,reason
causa => questao,27,verified_translate,matched_manual_span
nesta => nessa,27,verified_translate,matched_manual_demonstrative_rule
ainda => ∅,26,verified_translate,matched_manual_null_rule
reforma => aposentadoria,25,verified_translate,matched_manual_span
∅ => e,25,verified_translate,matched_manual_null_rule
que => q,25,verified_translate,default_translate_fallback
parlamento => congresso,24,verified_translate,matched_manual_span
noutros => em outros,24,verified_translate,default_translate_fallback
nas => em,24,verified_translate,matched_gpt_span
contacto => contato,23,verified_translate,matched_gpt_span
∅ => mais,23,verified_translate,matched_manual_null_rule
destes => desses,23,verified_translate,matched_manual_demonstrative_rule
da => ∅,23,verified_translate,matched_manual_null_rule
destas => dessas,23,verified_translate,matched_manual_demonstrative_rule
o alargamento => a ampliacao,23,verified_translate,default_translate_fallback
policias => policiais,22,verified_translate,matched_manual_span
camara municipal => prefeitura,22,verified_translate,matched_manual_span
equipas => equipes,22,verified_translate,matched_gpt_span
a => o,22,verified_translate,default_translate_fallback
a acontecer => acontecendo,22,verified_translate,matched_manual_progressive_rule
∅ => nao,22,verified_translate,matched_manual_null_rule
d => de,22,verified_translate,default_translate_fallback
∅ => em,21,verified_translate,matched_manual_null_rule
juro => juros,21,verified_translate,default_translate_fallback
relativamente => em relacao,21,verified_translate,matched_manual_span
nao => ∅,21,verified_translate,matched_manual_null_rule
a => da,21,verified_translate,default_translate_fallback
q => que,21,verified_translate,default_translate_fallback
∅ => do,20,verified_translate,matched_manual_null_rule
em => ∅,20,verified_translate,matched_manual_null_rule
∅ => ela,19,verified_translate,matched_manual_null_rule
portugal => o brasil,19,verified_translate,default_translate_fallback
nestes => nesses,19,verified_translate,matched_manual_demonstrative_rule
coronavirus => corona virus,19,verified_translate,default_translate_fallback
planeamento => planejamento,18,verified_translate,matched_manual_span
uma => um,18,verified_translate,default_translate_fallback
rendimento => renda,18,verified_translate,matched_manual_span
ha => tem,18,verified_translate,default_translate_fallback
mais => ∅,17,verified_translate,matched_manual_null_rule
∅ => eles,17,verified_translate,matched_manual_null_rule
∅ => ja,17,verified_translate,matched_manual_null_rule
de dolares => ∅,16,verified_translate,matched_manual_null_rule
∅ => lhe,16,verified_translate,matched_manual_null_rule
a trabalhar => trabalhando,16,verified_translate,matched_manual_progressive_rule
∅ => um,16,verified_translate,matched_manual_null_rule
a dizer => dizendo,16,verified_translate,matched_manual_progressive_rule
seleccao => selecao,15,verified_translate,matched_manual_span
orcamental => orcamentaria,15,verified_translate,matched_manual_span
mau => ruim,15,verified_translate,default_translate_fallback
registar => registrar,15,verified_translate,matched_gpt_span
a querer => querendo,15,verified_translate,matched_manual_progressive_rule
por => de,15,verified_translate,default_translate_fallback
registado => registrado,15,verified_translate,matched_gpt_span
contactos => contatos,15,verified_translate,matched_manual_span
justificacao => justificativa,15,verified_translate,matched_manual_span
governacao => governanca,15,verified_translate,matched_manual_span
a viver => vivendo,15,verified_translate,matched_manual_progressive_rule
ao => para o,15,verified_translate,default_translate_fallback
a => de,15,verified_translate,matched_gpt_span
desporto => esporte,15,verified_translate,matched_manual_span
judicial => judiciario,15,verified_translate,matched_manual_span
aspeto => aspecto,15,verified_translate,matched_manual_span
diz => fala,15,verified_translate,matched_manual_span
felicitar => parabenizar,15,verified_translate,matched_manual_span
orcamental => orcamentario,14,verified_translate,matched_manual_span
feira => ∅,14,verified_translate,matched_manual_null_rule
toda a gente => todo mundo,14,verified_translate,matched_manual_span
a dar => dando,14,verified_translate,matched_manual_progressive_rule
supremo => superior,14,verified_translate,default_translate_fallback
com => ∅,14,verified_translate,matched_manual_null_rule
∅ => no,14,verified_translate,matched_manual_null_rule
a ver => vendo,14,verified_translate,matched_manual_progressive_rule
a => no,14,verified_translate,default_translate_fallback
incumprimento => descumprimento,14,verified_translate,matched_manual_span
he => e,14,verified_translate,default_translate_fallback
retoma => retomada,14,verified_translate,default_translate_fallback
copenhaga => copenhague,14,verified_translate,default_translate_fallback
esta => ta,14,verified_translate,default_translate_fallback
jugoslavia => iugoslavia,13,verified_translate,matched_manual_span
te => ∅,13,verified_translate,matched_manual_null_rule
no => ∅,13,verified_translate,matched_manual_null_rule
seccao => secao,13,verified_translate,matched_gpt_span
adeptos => torcedores,13,verified_translate,matched_manual_span
na => ∅,13,verified_translate,matched_manual_null_rule
na => da,13,verified_translate,default_translate_fallback
a tentar => tentando,13,verified_translate,matched_manual_progressive_rule
madrid => madri,13,verified_translate,default_translate_fallback
pela => por,13,verified_translate,matched_gpt_span
perante => diante de,13,verified_translate,default_translate_fallback
aos => nos,13,verified_translate,matched_gpt_span
∅ => os,13,verified_translate,matched_manual_null_rule
que e => ∅,13,verified_translate,matched_manual_null_rule
a pensar => pensando,13,verified_translate,matched_manual_progressive_rule
do => ao,12,verified_translate,default_translate_fallback
∅ => sempre,12,verified_translate,matched_manual_null_rule
sempre => ∅,12,verified_translate,matched_manual_null_rule
israelita => israelense,12,verified_translate,matched_gpt_span
utilizadores => usuarios,12,verified_translate,matched_gpt_span
∅ => para,12,verified_translate,matched_manual_null_rule
duma => de uma,12,verified_translate,default_translate_fallback
nos => em,12,verified_translate,matched_gpt_span
laborais => trabalhistas,12,verified_translate,matched_manual_span
enquadramento => arcabouco,12,verified_translate,matched_manual_span
reformados => aposentados,12,verified_translate,matched_gpt_span
por => para,12,verified_translate,default_translate_fallback
voce => vc,12,verified_translate,default_translate_fallback
tu => voce,11,verified_translate,default_translate_fallback
investigadores => pesquisadores,11,verified_translate,matched_gpt_span
para a => pra,11,verified_translate,default_translate_fallback
um => uma,11,verified_translate,default_translate_fallback
em => de,11,verified_translate,matched_gpt_span
quer => tanto,11,verified_translate,default_translate_fallback
noutras => em outras,11,verified_translate,default_translate_fallback
ter => levar,11,verified_translate,default_translate_fallback
recolha => coleta,11,verified_translate,matched_gpt_span
∅ => isso,11,verified_translate,matched_manual_null_rule
seguranca => previdencia,11,verified_translate,matched_manual_span
senhor => ∅,11,verified_translate,matched_manual_null_rule
por => em,10,verified_translate,matched_manual_span
a equipa => o time,10,verified_translate,matched_manual_span
si => voce,10,verified_translate,default_translate_fallback
perspetiva => perspectiva,10,verified_translate,matched_gpt_span
golo => gol,10,verified_translate,matched_gpt_span
aos => os,10,verified_translate,matched_gpt_span
coligacao => coalizao,10,verified_translate,default_translate_fallback
registou => registrou,10,verified_translate,matched_gpt_span
concelhos => municipios,10,verified_translate,matched_manual_span
∅ => oriente,10,verified_translate,matched_manual_null_rule
oriente => ∅,10,verified_translate,matched_manual_null_rule
ca => aqui,10,verified_translate,default_translate_fallback
de => a,10,verified_translate,default_translate_fallback
∅ => uma,10,verified_translate,matched_manual_null_rule
moscovo => moscou,10,verified_translate,default_translate_fallback
da => a,10,verified_translate,default_translate_fallback
∅ => na,10,verified_translate,matched_manual_null_rule
quasi => quase,10,verified_translate,default_translate_fallback
sr => ∅,10,verified_translate,matched_manual_null_rule
ha => a,10,verified_translate,default_translate_fallback
utilizador => usuario,9,verified_translate,matched_manual_span
treinador => tecnico,9,verified_translate,matched_manual_span
∅ => te,9,verified_translate,matched_manual_null_rule
anos => ∅,9,verified_translate,matched_manual_null_rule
iorque => york,9,verified_translate,default_translate_fallback
para => de,9,verified_translate,default_translate_fallback
quota => cota,9,verified_translate,default_translate_fallback
a perder => perdendo,9,verified_translate,matched_manual_progressive_rule
partilhar => compartilhar,9,verified_translate,matched_gpt_span
quer => quanto,9,verified_translate,default_translate_fallback
dossier => dossie,9,verified_translate,default_translate_fallback
∅ => tambem,9,verified_translate,matched_manual_null_rule
por => ∅,9,verified_translate,matched_manual_null_rule
∅ => com,9,verified_translate,matched_manual_null_rule
∅ => esta,9,verified_translate,matched_manual_null_rule
∅ => voces,9,verified_translate,matched_manual_null_rule
o => do,9,verified_translate,default_translate_fallback
a lutar => lutando,9,verified_translate,matched_manual_progressive_rule
pq => porque,9,verified_translate,default_translate_fallback
estupefacientes => entorpecentes,8,verified_translate,matched_manual_span
quinta => fazenda,8,verified_translate,matched_manual_span
durante => por,8,verified_translate,matched_gpt_span
laboral => trabalhista,8,verified_translate,matched_manual_span
numa => em,8,verified_translate,default_translate_fallback
ao => do,8,verified_translate,default_translate_fallback
aos => a,8,verified_translate,default_translate_fallback
∅ => que vem,8,verified_translate,matched_manual_null_rule
esta => e,8,verified_translate,default_translate_fallback
da => do,8,verified_translate,default_translate_fallback
em => no,8,verified_translate,matched_gpt_span
inteiro => integral,8,verified_translate,default_translate_fallback
∅ => por,8,verified_translate,matched_manual_null_rule
no => ao,8,verified_translate,default_translate_fallback
de => em,8,verified_translate,default_translate_fallback
vosso => seu,8,verified_translate,default_translate_fallback
a receber => recebendo,8,verified_translate,matched_manual_progressive_rule
tambem => ∅,8,verified_translate,matched_manual_null_rule
irao => ira,8,verified_translate,default_translate_fallback
porque e => por,8,verified_translate,default_translate_fallback
euros => reais,8,verified_translate,default_translate_fallback
arguido => acusado,8,verified_translate,default_translate_fallback
subsidio de => seguro,8,verified_translate,default_translate_fallback
1 => 1a,8,verified_translate,default_translate_fallback
sabes => sabe,8,verified_translate,default_translate_fallback
qu => que,8,verified_translate,default_translate_fallback
dum => de um,8,verified_translate,default_translate_fallback
de portugal => do brasil,8,verified_translate,default_translate_fallback
infraestruturas => infraestrutura,8,verified_translate,default_translate_fallback
exigencias => demandas,8,verified_translate,default_translate_fallback
ha que => e preciso,8,verified_translate,default_translate_fallback
procurador => promotor,7,verified_translate,matched_manual_span
∅ => so,7,verified_translate,matched_manual_null_rule
dos => ∅,7,verified_translate,matched_manual_null_rule
gasoleo => oleo diesel,7,verified_translate,default_translate_fallback
∅ => inteiro,7,verified_translate,matched_manual_null_rule
na => a,7,verified_translate,default_translate_fallback
pela => da,7,verified_translate,default_translate_fallback
sr => sra,7,verified_translate,default_translate_fallback
o => ao,7,verified_translate,default_translate_fallback
num => em,7,verified_translate,default_translate_fallback
por => colocar,7,verified_translate,default_translate_fallback
decurso => decorrer,7,verified_translate,default_translate_fallback
a construir => construindo,7,verified_translate,matched_manual_progressive_rule
estatuto => status,7,verified_translate,default_translate_fallback
nalguns => em alguns,7,verified_translate,default_translate_fallback
tua => sua,7,verified_translate,default_translate_fallback
registaram => registraram,7,verified_translate,matched_gpt_span
nestas => nessas,7,verified_translate,matched_manual_demonstrative_rule
face => em relacao,7,verified_translate,default_translate_fallback
da => por,7,verified_translate,default_translate_fallback
seu => ∅,7,verified_translate,matched_manual_null_rule
aceda a => acesse,7,verified_translate,default_translate_fallback
juncao => juntada,7,verified_translate,default_translate_fallback
noutro => em outro,7,verified_translate,default_translate_fallback
s => ∅,7,verified_translate,matched_manual_null_rule
arguida => re,7,verified_translate,default_translate_fallback
quinta => chacara,7,verified_translate,default_translate_fallback
so => ∅,7,verified_translate,matched_manual_null_rule
a defender => defendendo,7,verified_translate,matched_manual_progressive_rule
a discutir => discutindo,7,verified_translate,matched_manual_progressive_rule
vias de => ∅,7,verified_translate,matched_manual_null_rule
∅ => vc,7,verified_translate,matched_manual_null_rule
∅ => da,6,verified_translate,matched_manual_null_rule
a ir => indo,6,verified_translate,matched_manual_progressive_rule
quotidiana => cotidiana,6,verified_translate,matched_gpt_span
troco => trecho,6,verified_translate,default_translate_fallback
a tomar => tomando,6,verified_translate,matched_manual_progressive_rule
sondagem => pesquisa,6,verified_translate,default_translate_fallback
a comecar => comecando,6,verified_translate,matched_manual_progressive_rule
a 1 => em 1o,6,verified_translate,default_translate_fallback
aceite => aceita,6,verified_translate,default_translate_fallback
devera => deve,6,verified_translate,default_translate_fallback
despesas => gastos,6,verified_translate,default_translate_fallback
a chegar => chegando,6,verified_translate,matched_manual_progressive_rule
quotidiano => cotidiano,6,verified_translate,matched_gpt_span
para o => pro,6,verified_translate,default_translate_fallback
droga => drogas,6,verified_translate,default_translate_fallback
irs => ir,6,verified_translate,default_translate_fallback
o rendimento => a renda,6,verified_translate,default_translate_fallback
como => ∅,6,verified_translate,matched_manual_null_rule
camaras => cameras,6,verified_translate,matched_gpt_span
proprio => mesmo,6,verified_translate,default_translate_fallback
ha => ∅,6,verified_translate,matched_manual_null_rule
aos => dos,6,verified_translate,default_translate_fallback
∅ => as,6,verified_translate,matched_manual_null_rule
a funcionar => funcionando,6,verified_translate,matched_manual_progressive_rule
o fazer => faze lo,6,verified_translate,default_translate_fallback
sucede => ocorre,6,verified_translate,default_translate_fallback
taliban => talibas,6,verified_translate,default_translate_fallback
do => o,6,verified_translate,default_translate_fallback
ai => ∅,6,verified_translate,matched_manual_null_rule
arguidos => reus,6,verified_translate,default_translate_fallback
cobro => fim,6,verified_translate,default_translate_fallback
alargado => ampliado,6,verified_translate,default_translate_fallback
quem => que,6,verified_translate,default_translate_fallback
com o => ao,6,verified_translate,default_translate_fallback
este tribunal => esta corte,6,verified_translate,default_translate_fallback
dos => aos,6,verified_translate,default_translate_fallback
registados => registrados,6,verified_translate,matched_gpt_span
o => lo,6,verified_translate,default_translate_fallback
assi => assim,6,verified_translate,default_translate_fallback
teu => seu,6,verified_translate,default_translate_fallback
m => me,6,verified_translate,default_translate_fallback
a passar => passando,6,verified_translate,matched_manual_progressive_rule
mas => e,6,verified_translate,default_translate_fallback
salario minimo => piso salarial,6,verified_translate,default_translate_fallback
a dizer => falando,6,verified_translate,matched_manual_progressive_rule
dizer => falar,6,verified_translate,default_translate_fallback
∅ => de voces,6,verified_translate,matched_manual_null_rule
de => das,6,verified_translate,matched_gpt_span
tipo => cara,6,verified_translate,default_translate_fallback
vos => lhes,6,verified_translate,default_translate_fallback
vejam => olhem,6,verified_translate,default_translate_fallback
a morrer => morrendo,6,verified_translate,matched_manual_progressive_rule
tal => assim,6,verified_translate,default_translate_fallback
designadamente => especialmente,6,verified_translate,default_translate_fallback
ong => ongs,6,verified_translate,default_translate_fallback
ao alargamento => a ampliacao,6,verified_translate,default_translate_fallback
gajo => cara,6,verified_translate,default_translate_fallback
telemovel => telefone,6,verified_translate,default_translate_fallback
apanhar => pegar,5,verified_translate,matched_manual_span
implementacao => implantacao,5,verified_translate,matched_manual_span
a apoiar => apoiando,5,verified_translate,matched_manual_progressive_rule
em => com,5,verified_translate,matched_manual_span
guarda redes => goleiro,5,verified_translate,matched_manual_span
de => pela,5,verified_translate,matched_manual_span
da equipa => do time,5,verified_translate,default_translate_fallback
para => a,5,verified_translate,default_translate_fallback
aluguer => aluguel,5,verified_translate,default_translate_fallback
a ter => tendo,5,verified_translate,matched_manual_progressive_rule
do => no,5,verified_translate,default_translate_fallback
avancado => atacante,5,verified_translate,matched_gpt_span
as => a,5,verified_translate,default_translate_fallback
condutores => motoristas,5,verified_translate,matched_gpt_span
rapariga => moca,5,verified_translate,default_translate_fallback
reais => ∅,5,verified_translate,matched_manual_null_rule
voleibol => volei,5,verified_translate,matched_gpt_span
apenas => somente,5,verified_translate,default_translate_fallback
contigo => com voce,5,verified_translate,default_translate_fallback
vais => vai,5,verified_translate,default_translate_fallback
singulares => fisicas,5,verified_translate,default_translate_fallback
psd => psdb,5,verified_translate,default_translate_fallback
tornou se => virou,5,verified_translate,matched_gpt_span
e que => voce,5,verified_translate,default_translate_fallback
dizer => ∅,5,verified_translate,matched_manual_null_rule
cancro da => cancer de,5,verified_translate,default_translate_fallback
comunicacao social => midia,5,verified_translate,default_translate_fallback
pelas => as,5,verified_translate,default_translate_fallback
mas => ruins,5,verified_translate,default_translate_fallback
por que => pela qual,5,verified_translate,default_translate_fallback
haver => ter,5,verified_translate,default_translate_fallback
a matar => matando,5,verified_translate,matched_manual_progressive_rule
doentes => pacientes,5,verified_translate,default_translate_fallback
para ja => por ora,5,verified_translate,default_translate_fallback
camara => prefeitura,5,verified_translate,default_translate_fallback
genero => tipo,5,verified_translate,default_translate_fallback
secundario => medio,5,verified_translate,default_translate_fallback
portugal => brasil,5,verified_translate,default_translate_fallback
recordar => lembrar,5,verified_translate,default_translate_fallback
sitio => lugar,5,verified_translate,default_translate_fallback
alargada => ampliada,5,verified_translate,default_translate_fallback
∅ => estao,5,verified_translate,matched_manual_null_rule
fecho => fechamento,5,verified_translate,default_translate_fallback
efeitos => fins,5,verified_translate,default_translate_fallback
tem => ∅,5,verified_translate,matched_manual_null_rule
face a => diante de,5,verified_translate,default_translate_fallback
∅ => ate,5,verified_translate,matched_manual_null_rule
nessa altura => naquela epoca,5,verified_translate,default_translate_fallback
toxicodependencia => dependencia quimica,5,verified_translate,default_translate_fallback
e => de,5,verified_translate,default_translate_fallback
ultrapassar => superar,5,verified_translate,default_translate_fallback
este facto => esse fato,5,verified_translate,default_translate_fallback
sentido => senso,5,verified_translate,default_translate_fallback
desportivas => esportivas,5,verified_translate,matched_gpt_span
a pedir => pedindo,5,verified_translate,matched_manual_progressive_rule
isto e => ou seja,5,verified_translate,default_translate_fallback
a => e,5,verified_translate,default_translate_fallback
da => das,5,verified_translate,default_translate_fallback
oficiosamente => de oficio,5,verified_translate,default_translate_fallback
dos => do,5,verified_translate,default_translate_fallback
insira => digite,5,verified_translate,default_translate_fallback
ficou => restou,5,verified_translate,default_translate_fallback
conta => vista,5,verified_translate,default_translate_fallback
com => como,5,verified_translate,default_translate_fallback
trabalhador => empregado,5,verified_translate,default_translate_fallback
vista => vistas,5,verified_translate,default_translate_fallback
n => no,5,verified_translate,default_translate_fallback
coima => multa,5,verified_translate,default_translate_fallback
tinha => ∅,5,verified_translate,matched_manual_null_rule
via => meio,5,verified_translate,default_translate_fallback
∅ => a ele,5,verified_translate,matched_manual_null_rule
mama => mamae,5,verified_translate,default_translate_fallback
raparigas => mocas,5,verified_translate,default_translate_fallback
a andar => andando,5,verified_translate,matched_manual_progressive_rule
pae => pai,5,verified_translate,default_translate_fallback
dize => diga,5,verified_translate,default_translate_fallback
n uma => numa,5,verified_translate,default_translate_fallback
de => por,5,verified_translate,default_translate_fallback
a correr => correndo,5,verified_translate,matched_manual_progressive_rule
eu => ∅,5,verified_translate,matched_manual_null_rule
be => psol,5,verified_translate,default_translate_fallback
a pagar => pagando,5,verified_translate,matched_manual_progressive_rule
recordo => lembro,5,verified_translate,default_translate_fallback
central => federal,5,verified_translate,default_translate_fallback
dizem => falam,5,verified_translate,default_translate_fallback
vossa => ∅,5,verified_translate,matched_manual_null_rule
∅ => eu me,5,verified_translate,matched_manual_null_rule
sera => vai ser,5,verified_translate,default_translate_fallback
recursos => recurso,5,verified_translate,default_translate_fallback
tu es => voce e,5,verified_translate,default_translate_fallback
perceber => entender,5,verified_translate,default_translate_fallback
intervencao => fala,5,verified_translate,default_translate_fallback
pessoal => gente,5,verified_translate,default_translate_fallback
a criar => criando,5,verified_translate,matched_manual_progressive_rule
a ajudar => ajudando,5,verified_translate,matched_manual_progressive_rule
vos => ∅,5,verified_translate,matched_manual_null_rule
vaga => onda,5,verified_translate,default_translate_fallback
isto => isso se,5,verified_translate,default_translate_fallback
alargamento => ampliacao,5,verified_translate,default_translate_fallback
do alargamento => da ampliacao,5,verified_translate,default_translate_fallback
exito => sucesso,5,verified_translate,default_translate_fallback
importa => e importante,5,verified_translate,default_translate_fallback
o teu => seu,5,verified_translate,default_translate_fallback
quando => qdo,5,verified_translate,default_translate_fallback
p => para,5,verified_translate,default_translate_fallback
n => nao,5,verified_translate,default_translate_fallback
objectivos => alvos,5,verified_translate,default_translate_fallback
coletiva => juridica,4,verified_translate,matched_manual_span
pelas => por,4,verified_translate,matched_manual_span
hipoteses => chances,4,verified_translate,default_translate_fallback
a levar => levando,4,verified_translate,matched_manual_progressive_rule
por ser => sendo,4,verified_translate,matched_gpt_span
desportiva => esportiva,4,verified_translate,matched_gpt_span
lhes => ∅,4,verified_translate,matched_manual_null_rule
aceite => aceito,4,verified_translate,default_translate_fallback
todo => ∅,4,verified_translate,matched_manual_null_rule
a percentagem => o percentual,4,verified_translate,default_translate_fallback
fins => finais,4,verified_translate,matched_gpt_span
es => e,4,verified_translate,default_translate_fallback
exame de acesso a universidade => vestibular,4,verified_translate,default_translate_fallback
singular => fisica,4,verified_translate,default_translate_fallback
∅ => vai,4,verified_translate,matched_manual_null_rule
vai => ∅,4,verified_translate,matched_manual_null_rule
esquadra => delegacia,4,verified_translate,default_translate_fallback
a usar => usando,4,verified_translate,matched_manual_progressive_rule
a cair => caindo,4,verified_translate,matched_manual_progressive_rule
medicamentos => remedios,4,verified_translate,default_translate_fallback
taxas => aliquotas,4,verified_translate,default_translate_fallback
as => os,4,verified_translate,matched_gpt_span
arrendamento => locacao,4,verified_translate,default_translate_fallback
a aumentar => aumentando,4,verified_translate,matched_manual_progressive_rule
subida => alta,4,verified_translate,default_translate_fallback
viragem => virada,4,verified_translate,matched_gpt_span
noutra => em outra,4,verified_translate,default_translate_fallback
a pressa => as pressas,4,verified_translate,default_translate_fallback
face => ante,4,verified_translate,default_translate_fallback
∅ => dizer,4,verified_translate,matched_manual_null_rule
caucao => fianca,4,verified_translate,default_translate_fallback
a jogar => jogando,4,verified_translate,matched_manual_progressive_rule
em baixo => embaixo,4,verified_translate,default_translate_fallback
tal => isso,4,verified_translate,default_translate_fallback
poderao => podem,4,verified_translate,default_translate_fallback
medicamento => remedio,4,verified_translate,default_translate_fallback
a conversar => conversando,4,verified_translate,matched_manual_progressive_rule
autarca => prefeito,4,verified_translate,default_translate_fallback
ser => ∅,4,verified_translate,matched_manual_null_rule
termo => fim,4,verified_translate,default_translate_fallback
tratar => cuidar,4,verified_translate,default_translate_fallback
depressa => rapido,4,verified_translate,default_translate_fallback
o regresso => a volta,4,verified_translate,default_translate_fallback
se passa => acontece,4,verified_translate,default_translate_fallback
efectuar => realizar,4,verified_translate,default_translate_fallback
a provocar => provocando,4,verified_translate,matched_manual_progressive_rule
recorde se => vale lembrar,4,verified_translate,default_translate_fallback
pormenor => detalhe,4,verified_translate,default_translate_fallback
zona => regiao,4,verified_translate,default_translate_fallback
para o => no,4,verified_translate,default_translate_fallback
respeitantes => referentes,4,verified_translate,default_translate_fallback
de novo => novamente,4,verified_translate,default_translate_fallback
∅ => tem,4,verified_translate,matched_manual_null_rule
toxicodependentes => dependentes quimicos,4,verified_translate,default_translate_fallback
a => no dia,4,verified_translate,default_translate_fallback
de mais => demais,4,verified_translate,default_translate_fallback
vossos => seus,4,verified_translate,default_translate_fallback
registos => registros,4,verified_translate,matched_gpt_span
desportivo => esportivo,4,verified_translate,matched_gpt_span
dos negocios estrangeiros => das relacoes exteriores,4,verified_translate,default_translate_fallback
por que => pelos quais,4,verified_translate,default_translate_fallback
tem de => precisam,4,verified_translate,default_translate_fallback
aos => para os,4,verified_translate,default_translate_fallback
a saber => sabendo,4,verified_translate,matched_manual_progressive_rule
referiu => mencionou,4,verified_translate,default_translate_fallback
perante a => diante da,4,verified_translate,default_translate_fallback
visto => eis,4,verified_translate,default_translate_fallback
apuramento => apuracao,4,verified_translate,default_translate_fallback
trabalhador => obreiro,4,verified_translate,default_translate_fallback
notificacao => intimacao,4,verified_translate,default_translate_fallback
perante o => diante do,4,verified_translate,default_translate_fallback
artigo => art,4,verified_translate,default_translate_fallback
∅ => dela,4,verified_translate,matched_manual_null_rule
descontos => recolhimentos,4,verified_translate,default_translate_fallback
do tribunal => da justica,4,verified_translate,default_translate_fallback
conforme => consoante,4,verified_translate,default_translate_fallback
das => da,4,verified_translate,default_translate_fallback
donde => de onde,4,verified_translate,default_translate_fallback
de => no,4,verified_translate,default_translate_fallback
irc => irpj,4,verified_translate,default_translate_fallback
4 => 4o,4,verified_translate,default_translate_fallback
a realizar => realizando,4,verified_translate,matched_manual_progressive_rule
ha que => e necessario,4,verified_translate,default_translate_fallback
infra estrutura => infraestrutura,4,verified_translate,default_translate_fallback
humidade => umidade,4,verified_translate,matched_gpt_span
a ouvir => ouvindo,4,verified_translate,matched_manual_progressive_rule
fumo => fumaca,4,verified_translate,default_translate_fallback
herdade => fazenda,4,verified_translate,default_translate_fallback
a brincar => brincando,4,verified_translate,matched_manual_progressive_rule
paiz => pais,4,verified_translate,default_translate_fallback
mi => mim,4,verified_translate,default_translate_fallback
a => aos,4,verified_translate,default_translate_fallback
∅ => sao,4,verified_translate,matched_manual_null_rule
co => com,4,verified_translate,default_translate_fallback
ceo => ceu,4,verified_translate,default_translate_fallback
d este => deste,4,verified_translate,default_translate_fallback
que => qual,4,verified_translate,default_translate_fallback
dentro => ∅,4,verified_translate,matched_manual_null_rule
nymphas => ninfas,4,verified_translate,default_translate_fallback
