kind,id,sent_pt_br,sent_pt_pt,len_br,len_pt,ratio
high_ratio,1854179,V.,V. STRJELTCHIK Bennigsen,2,24,12.0
high_ratio,11831331,É,Era qualquer,1,12,12.0
high_ratio,14981661,É.,"Sim, devias saber disso.",2,24,12.0
high_ratio,789087,E,"E ""Parabéns.",1,12,12.0
high_ratio,10985946,É?,"Bom, isso explica tudo.",2,23,11.5
high_ratio,7776341,É.,Explico-te depois. Olá.,2,23,11.5
high_ratio,13618924,É.,"Pois, eu apenas acho...",2,23,11.5
high_ratio,6231132,04,Atoms 21 - sharks 24 04,2,23,11.5
high_ratio,3292624,Um,Vou dizer-te uma coisa.,2,23,11.5
high_ratio,15525841,É.,Deve estar a descansar.,2,23,11.5
high_ratio,8607702,Te,Vou dizer-te uma coisa.,2,23,11.5
high_ratio,14659761,84,"Pulso a normalizar, 84.",2,23,11.5
high_ratio,7846813,Ei.,"Doug, estamos a tornarnos idiotas.",3,34,11.333333333333334
high_ratio,20225,Fim,Jonnyth3 Sincronização e correcção,3,34,11.333333333333334
high_ratio,13080012,Dói?,Onde está doendo? Você está bem? Está doendo.,4,45,11.25
high_ratio,3700312,É,Sim eu sei.,1,11,11.0
high_ratio,5539579,Oi.,"É melhor recuperar aqui, Charlie.",3,33,11.0
high_ratio,6506648,É.,Sentes-te responsável.,2,22,11.0
high_ratio,7675173,A,"Em geral, a",1,11,11.0
high_ratio,13351904,É.,Estamos mesmo casados.,2,22,11.0
high_ratio,11976815,Me,Responde-me uma coisa.,2,22,11.0
high_ratio,9057832,E?,"Então, como te saíste?",2,22,11.0
high_ratio,7071605,É.,Sopra-se no rabo dela.,2,22,11.0
high_ratio,4570511,F,Percebeste?,1,11,11.0
high_ratio,4957437,E,Claro que a,1,11,11.0
high_ratio,3732307,De,Lembrei-me de repente.,2,22,11.0
high_ratio,11187708,Ei!,"Seu bastardo, nós estamos mortos!",3,33,11.0
high_ratio,8385172,Ok.,Que Primavera uma bela irlandesa.,3,33,11.0
high_ratio,2078237,Fim,Tradução e legendagem PEDRO LOPES,3,33,11.0
high_ratio,15632874,As,"Ah, as regras da casa.",2,22,11.0
high_ratio,5678707,Dois.,VEDAÇÃO DO RECINTO DO T-REX VEDAÇÃO PERIMÉTRICA dois...,5,55,11.0
high_ratio,9408360,É.,E essa a sua resposta?,2,22,11.0
high_ratio,9536072,É.,"Uma chatice, já sabes.",2,22,11.0
high_ratio,11949166,Oi.,Estou cansado de ser apaparicado.,3,33,11.0
high_ratio,15207165,É.,"Sim, não precisavas...",2,22,11.0
high_ratio,9218648,Alô?,"Hotel beverly ernesto hollywood, califórnia",4,43,10.75
high_ratio,9120198,Mas,Mas ninguém poderia dissuadi-la.,3,32,10.666666666666666
high_ratio,6865125,65.,Tenho de fazer uma traqueotomia.,3,32,10.666666666666666
high_ratio,4721809,Mas,Mas vamos nos manter aos factos.,3,32,10.666666666666666
high_ratio,12544581,Mas,Mas digo-lhes o que vamos fazer.,3,32,10.666666666666666
high_ratio,4359916,Vê?,"Olha, Pelle. Tinha-me esquecido,",3,32,10.666666666666666
high_ratio,5841762,Oi.,Anda falar comigo quando saíres.,3,32,10.666666666666666
high_ratio,1173267,Fim,: Tradução para PT-PT por mpenaf,3,32,10.666666666666666
high_ratio,5300991,Vê?,Especialmente se não estamos lá.,3,32,10.666666666666666
high_ratio,2898932,Vá!,Agora vamos para as corredeiras.,3,32,10.666666666666666
high_ratio,3579493,É.,Eu não volto a fugir.,2,21,10.5
high_ratio,12271928,É.,"Não sei, porque iria?",2,21,10.5
high_ratio,11587309,1.,"Primeiro item, Caixa.",2,21,10.5
high_ratio,12372873,É!,Ambos tinham barba...,2,21,10.5
high_ratio,7324959,É.,Então está combinado.,2,21,10.5
high_ratio,6550242,As,As empregadas de mesa,2,21,10.5
high_ratio,9015521,É.,As melhores costelas!,2,21,10.5
high_ratio,1824923,Vê?,Promete não falar para ninguém.,3,31,10.333333333333334
high_ratio,2739492,Sr.,Então apenas faça seu trabalho.,3,31,10.333333333333334
high_ratio,6453078,Ei!,"Vamos embora rapazes, vamos lá.",3,31,10.333333333333334
high_ratio,7993759,Fbi,Agência federal de investigação,3,31,10.333333333333334
high_ratio,6303989,Né?,"Gostas de Indianos, não gostas?",3,31,10.333333333333334
high_ratio,10589082,Gdg,A artéria carótida era cortada.,3,31,10.333333333333334
high_ratio,3562691,Ei.,Não lhe ensinei nenhuma música.,3,31,10.333333333333334
high_ratio,5645269,Fim,Tradução Adaptação de ednoconun,3,31,10.333333333333334
high_ratio,7219412,Ei.,É um instinto visceral genuíno!,3,31,10.333333333333334
high_ratio,8094269,E você,A indústria musical não anda propriamente a bater-me á porta.,6,61,10.166666666666666
high_ratio,11556686,Ei.,Exportam a doutrina religiosa.,3,30,10.0
high_ratio,12284128,É.,Parece graxa antiga.,2,20,10.0
high_ratio,14460638,Eu,Vou só dizer isto...,2,20,10.0
high_ratio,5903237,Ei!,Pergunte pelo desconto mutante,3,30,10.0
high_ratio,12656662,No,No entanto um ficou.,2,20,10.0
high_ratio,8276839,Eu,"Já te disse, Willie.",2,20,10.0
high_ratio,2585638,É,Aqui está.,1,10,10.0
high_ratio,9540570,Só,Só ouvimos a NRK P1.,2,20,10.0
high_ratio,542491,Fim,: Legendas em PT-PT por mpenaf,3,30,10.0
high_ratio,9387453,A,A história,1,10,10.0
high_ratio,11142923,É.,No meio do corredor?,2,20,10.0
high_ratio,13009081,O,Um racista,1,10,10.0
high_ratio,3368166,1,1-W-Larry.,1,10,10.0
high_ratio,13442959,Ok.,Taquicardia supra ventricular.,3,30,10.0
high_ratio,24489,É!,"Olhe para ele, veja.",2,20,10.0
high_ratio,6463620,É.,Vejam-lhe a barriga.,2,20,10.0
high_ratio,15288181,"É,",Cuidado com o braço.,2,20,10.0
high_ratio,7843390,É.,Lamento incomodá-lo.,2,20,10.0
high_ratio,11956750,Eu,Certo. Fui ter com o,2,20,10.0
high_ratio,4634201,Al.,"Al, sabia que irias conseguir.",3,30,10.0
high_ratio,6469059,Sim.,"Enquanto houver aperitivos, sem dúvida.",4,39,9.75
high_ratio,14585399,Mas?,"Lamento, mas não importa encobrir isto.",4,39,9.75
high_ratio,6894128,Não.,Talvez devêssemos voltar noutra altura.,4,39,9.75
high_ratio,9060704,Aa.,Ando nos Alcoólicos Anónimos.,3,29,9.666666666666666
high_ratio,7153977,Ele,Acrescentou um post scriptum.,3,29,9.666666666666666
high_ratio,2309096,Vi.,Alguns vinte dólares o metro.,3,29,9.666666666666666
high_ratio,1912125,Oh!,"Saia de meu caminho, Vigário!",3,29,9.666666666666666
high_ratio,9843842,Oi.,Deixa-me pegar no teu casaco.,3,29,9.666666666666666
high_ratio,4272118,Vá!,Nunca pensei que cá voltasse.,3,29,9.666666666666666
high_ratio,1483863,Mas,Mas permite-me que te diga...,3,29,9.666666666666666
high_ratio,12866159,Kc.,Impressionaste-nos imenso KC!,3,29,9.666666666666666
high_ratio,11829722,Tá.,Podemos deixá-la para depois?,3,29,9.666666666666666
high_ratio,10448936,Oi.,"Paige, tens montes de amigos.",3,29,9.666666666666666
high_ratio,15757983,Ei.,"Ele está a inventar, Charlie.",3,29,9.666666666666666
high_ratio,6628354,Ei!,De onde veio esta tempestade?,3,29,9.666666666666666
high_ratio,10386671,Seu,O contacto de Michael Vaughn.,3,29,9.666666666666666
high_ratio,10802638,Oi.,Temos um banquete esta noite.,3,29,9.666666666666666
high_ratio,15390271,Já?,Trabalhámos nisso o dia todo.,3,29,9.666666666666666
high_ratio,13367875,Eu,Coloquei a questão.,2,19,9.5
high_ratio,1296426,Ok,Isso vai ficar bem.,2,19,9.5
high_ratio,15979244,É.,Vai ser fantástico.,2,19,9.5
high_ratio,7064396,É.,Em direcção ao Sol.,2,19,9.5
high_ratio,6619760,Um,Traz-me a carteira.,2,19,9.5
high_ratio,5302692,É.,Dávamo-nos tão bem.,2,19,9.5
high_ratio,6669776,Xara,Tradução e Legendagem HomemDasLegendas,4,38,9.5
high_ratio,2265533,É.,"Bem, vai para casa.",2,19,9.5
high_ratio,7224894,É.,Jogo todos os dias.,2,19,9.5
high_ratio,4611037,Como,Helderbargenberg gefloefen wurterberg.,4,38,9.5
high_ratio,14150033,É.,Também és corajoso?,2,19,9.5
high_ratio,8579689,É?,Vou pegar de volta!,2,19,9.5
high_ratio,3141897,Me,Diz-me uma coisa...,2,19,9.5
high_ratio,14559430,É.,"Bem, temo que seja.",2,19,9.5
high_ratio,12762550,Um,Algures na Sibéria.,2,19,9.5
high_ratio,2658155,Sim.,"Sim, compreendo aquilo que quer dizer.",4,38,9.5
high_ratio,14670146,É.,"Sim, sim, sim, sim.",2,19,9.5
high_ratio,1708843,Há,Só há uma pergunta.,2,19,9.5
high_ratio,6376461,12,Kelly Mann 1 2 Anos,2,19,9.5
high_ratio,11479738,Ah.,"Eu ganho-lhe, seja como for.",3,28,9.333333333333334
high_ratio,3503217,Ah!,Guisado de canguru à Spur...,3,28,9.333333333333334
high_ratio,13356557,Dr.,"Barnett, ficamos-lhe gratas.",3,28,9.333333333333334
high_ratio,11659153,Oi.,Sempre achei que era mais...,3,28,9.333333333333334
high_ratio,7617619,Ah.,Estou a criar uma lembrança.,3,28,9.333333333333334
high_ratio,6500755,Vê?,"Calma, tenho as mãos atadas.",3,28,9.333333333333334
high_ratio,15261536,Ai!,Quando é que isto aconteceu?,3,28,9.333333333333334
high_ratio,5774820,Ah.,A história DE BARNEY COUSlNS,3,28,9.333333333333334
high_ratio,13601281,Não,Treinador-adjunto da equipa?,3,28,9.333333333333334
high_ratio,5538685,Eu?,Tu ou outra pessoa qualquer.,3,28,9.333333333333334
high_ratio,3105617,"Ah,",Deixa-me dar-te um conselho.,3,28,9.333333333333334
high_ratio,5469877,E é?,O Dillon diz que ela é namorada dele.,4,37,9.25
high_ratio,15369119,Fbi.,"Chamo-me John McEnroe, agente do FBI.",4,37,9.25
high_ratio,9910212,Dst?,Uma doença sexualmente transmíssivel?,4,37,9.25
high_ratio,14385432,Sim.,Os salários actuais estão garantidos.,4,37,9.25
high_ratio,5219190,Só,Digo-te uma coisa.,2,18,9.0
high_ratio,14700903,É.,Também gosto dela.,2,18,9.0
high_ratio,4831492,Aí,É esse o problema.,2,18,9.0
high_ratio,8019041,E,E O Homem,1,9,9.0
high_ratio,13498729,Ok.,Eis o que quero que faça...,3,27,9.0
high_ratio,15646956,Ei.,"Pessoal, dêem-me um minuto.",3,27,9.0
high_ratio,9816542,Ola!,Descongeladores de janelas laterais.,4,36,9.0
high_ratio,153171,Eu?,"Se não se importar, Watson.",3,27,9.0
high_ratio,7294949,Oi,Como detesto isto.,2,18,9.0
high_ratio,5540558,Os,Ninguém os impede.,2,18,9.0
high_ratio,14690450,Oi.,"De ""separar a sua ligação"".",3,27,9.0
high_ratio,1304771,Não.,"Não, não, não, não, não, não, não...",4,36,9.0
high_ratio,1363874,O,Os factos,1,9,9.0
high_ratio,2770262,Ei!,Também gosto do seu nome...,3,27,9.0
high_ratio,9798636,E?,"Ok, estou a ouvir.",2,18,9.0
high_ratio,10537787,Oi.,Claro que foi muito difícil,3,27,9.0
high_ratio,1844356,É?,O teu aproxima-se.,2,18,9.0
high_ratio,12386201,Oi.,"Não estou escondido, Julie.",3,27,9.0
high_ratio,13502908,Sim.,Nós encontrámo-lo no meu escritório.,4,36,9.0
high_ratio,3092980,Só,Ele é só um homem.,2,18,9.0
high_ratio,8701027,É.,"Sim, são ""pistas"".",2,18,9.0
high_ratio,15286452,L!,"Presta atenção, L!",2,18,9.0
high_ratio,5187056,É.,Faço os possíveis.,2,18,9.0
high_ratio,4916831,Oi.,Divertiste-te no hipódromo?,3,27,9.0
high_ratio,6680435,É.,"Raios partam, meu.",2,18,9.0
high_ratio,8531388,Oi.,Porque eu estava a brincar.,3,27,9.0
high_ratio,13188840,Ok.,Preciso mesmo da tua ajuda.,3,27,9.0
high_ratio,8186125,Oo.,Pareces o noticiário das 5.,3,27,9.0
high_ratio,11050564,No,"Ah, sim, você deve",2,18,9.0
high_ratio,4239810,Oi.,Aqui estão os oito dólares.,3,27,9.0
high_ratio,933060,Com,Com a seguinte diferença...,3,27,9.0
high_ratio,14450361,É!,Dois dias antes...,2,18,9.0
high_ratio,15379134,É.,"Obrigado, querida.",2,18,9.0
high_ratio,7323921,Ei!,[Homem gritando] [Ofegante],3,27,9.0
high_ratio,4450599,O,Perguntou,1,9,9.0
high_ratio,6059362,Kilo,"Tradução e Legendagem CRISTBET, Lda.",4,36,9.0
high_ratio,11125747,No,No pedido foi dito,2,18,9.0
high_ratio,10193959,Sim.,"Xavier, sim, fizémos umas 'coisas'.",4,35,8.75
high_ratio,15208313,Uau!,# Ponham cada último cuidado fora #,4,35,8.75
high_ratio,13758789,Hum?,Onde arranjaste dinheiro para isto?,4,35,8.75
high_ratio,13413780,Mãe.,Deixa-me ser frívola e superficial.,4,35,8.75
high_ratio,2239148,Não.,Você recebe o dinheiro diariamante?,4,35,8.75
high_ratio,13922865,Ok.,Estás a fazê-lo muito bem.,3,26,8.666666666666666
high_ratio,9768843,Ok.,Eu ligo para o alojamento.,3,26,8.666666666666666
high_ratio,276189,Oi!,Não disparem companheiros!,3,26,8.666666666666666
high_ratio,12232367,Oi.,As crianças estão prontas?,3,26,8.666666666666666
high_ratio,11243221,Ei!,"Estás a magoá-la, canalha!",3,26,8.666666666666666
high_ratio,6760220,Oh.,"Bem, devo discordar de si.",3,26,8.666666666666666
high_ratio,3541500,Ele,"Pediu-me para lhe dizer, e",3,26,8.666666666666666
high_ratio,10660186,Bom,Boas Noticias Más Noticias,3,26,8.666666666666666
high_ratio,7962641,20?,"10 Barras de latinium, 20?",3,26,8.666666666666666
high_ratio,6380015,Oh.,"Aqui, usam o nome próprio.",3,26,8.666666666666666
high_ratio,14548125,É--,As lágrimas de um palhaço.,3,26,8.666666666666666
high_ratio,2065740,Uma,Pelo menos isto é verdade.,3,26,8.666666666666666
high_ratio,15815590,"Ah,",Esqueci-me de mencionar...,3,26,8.666666666666666
high_ratio,9667561,Não!,Que desapareçam os nossos poderes.,4,34,8.5
high_ratio,1872159,Isso,Dava-nos uma sensação inquietante.,4,34,8.5
high_ratio,2072862,É.,Tenho de o fazer.,2,17,8.5
high_ratio,14956824,É.,Vocês discutiram?,2,17,8.5
high_ratio,14423801,É!,"Pois, é porreiro!",2,17,8.5
high_ratio,12337650,"Hal,",Só precisamos de umas lanternas...,4,34,8.5
high_ratio,6147783,É.,Que lhe disseste?,2,17,8.5
high_ratio,8385167,É?,"Eu te adoro, meu.",2,17,8.5
high_ratio,14448871,Só,E mais uma coisa.,2,17,8.5
high_ratio,11093751,É.,"Pois, pois, pois.",2,17,8.5
high_ratio,14766616,É.,Olha para aquilo.,2,17,8.5
high_ratio,2854214,Sim.,Lamento intrometer-me desta forma.,4,34,8.5
high_ratio,15638329,Lá,Aí o objetivo era,2,17,8.5
high_ratio,2855564,E?,Eu perguntei-lhe.,2,17,8.5
high_ratio,15254996,É?,Consegues ver-me?,2,17,8.5
high_ratio,11357541,É?,A grande pintura.,2,17,8.5
high_ratio,10033887,É.,Levanta a cabeça.,2,17,8.5
high_ratio,14406466,Eu,Eu anttes sonhava,2,17,8.5
high_ratio,3547274,19,"Jogo de futebol"".",2,17,8.5
high_ratio,11259035,É!,Vamos lá rapazes!,2,17,8.5
high_ratio,12471656,É?,Os Papéis Valachi,2,17,8.5
high_ratio,5311363,Onde?,Onde irei receber este prestigioso prémio?,5,42,8.4
high_ratio,3449117,Srta.,"Sullivan Sullivan, assim que o encerremos,",5,42,8.4
high_ratio,924003,2:45.,"3 Menos um quarto, o Bob entra no ""Privé"".",5,42,8.4
high_ratio,133668,Uma,Só uma coisa me incomoda.,3,25,8.333333333333334
high_ratio,8189683,Hã?,Tem duas saias como essa?,3,25,8.333333333333334
high_ratio,621428,Seu,O teu pai sempre disse...,3,25,8.333333333333334
high_ratio,4701069,Ok.,Vocês vão buscar o carro.,3,25,8.333333333333334
high_ratio,15274899,Tá?,Tento a seguir ao jantar!,3,25,8.333333333333334
high_ratio,12637542,Ok.,"Muito bem, feche a porta.",3,25,8.333333333333334
high_ratio,4615436,E o,Só o Gustav saberia isso.,3,25,8.333333333333334
high_ratio,300413,Ei!,Ainda não mudou de curso!,3,25,8.333333333333334
high_ratio,11766302,Ohh,Estados unidos da américa,3,25,8.333333333333334
high_ratio,14964115,Oh.,Deve ter sido um inferno.,3,25,8.333333333333334
high_ratio,567782,Oh!,"Bem, o fato é, esqueça...",3,25,8.333333333333334
high_ratio,5828149,Oi.,Não pude deixar de ouvir.,3,25,8.333333333333334
high_ratio,12828297,Lá.,Lavandaria Quality É ali.,3,25,8.333333333333334
high_ratio,1848508,Oh!,A Geraldine foi atingida.,3,25,8.333333333333334
high_ratio,620911,Meu,O meu pai sempre disse...,3,25,8.333333333333334
high_ratio,6940417,Ei.,La cucaracha La cucaracha,3,25,8.333333333333334
high_ratio,4272117,Vá!,Vi-me á rasca para fugir.,3,25,8.333333333333334
high_ratio,9770699,Ei!,Não vais acreditar nisto.,3,25,8.333333333333334
high_ratio,13411717,Ok.,Tenho o telemóvel ligado.,3,25,8.333333333333334
high_ratio,7632200,Oi!,Sejam todos bem-vindos...,3,25,8.333333333333334
high_ratio,5648152,Vou,Começo por aqui está bem?,3,25,8.333333333333334
high_ratio,15053321,Vem,Estão a ser anti-sociais.,3,25,8.333333333333334
high_ratio,15632069,Oi.,Olha para ti todo bonito.,3,25,8.333333333333334
high_ratio,14517551,Tá.,Chama-se Arte Divergente.,3,25,8.333333333333334
high_ratio,4015271,Fim,Legendas by jose rolando®,3,25,8.333333333333334
high_ratio,13571044,Ei.,Recuperação de Fugitivos.,3,25,8.333333333333334
high_ratio,7882655,Oi.,"Olá, não estamos em casa.",3,25,8.333333333333334
high_ratio,8673221,Eu?,Trabalhou ele num casino.,3,25,8.333333333333334
high_ratio,7841213,Ei!,Vamos fazer um intervalo.,3,25,8.333333333333334
high_ratio,12338268,Mãe!,Tenho muitos trabalhos de casa...,4,33,8.25
high_ratio,449311,Não.,Só Acontece Quando Danço Contigo.,4,33,8.25
high_ratio,14838205,Sim.,"É a Michelle Featherstone, certo?",4,33,8.25
high_ratio,7351545,Sim.,"Vai apanhá-lo, chefe. Levanta-te.",4,33,8.25
high_ratio,2289821,Não!,"Wee-cha-shad, ou shad-wee-shad...",4,33,8.25
high_ratio,7859405,Hmm.,Vorpax disse que jamais saberias.,4,33,8.25
high_ratio,120948,Hã?!,Jamais teríamos que usar sapatos.,4,33,8.25
high_ratio,11895833,Mas?,"Não, definitivamente, não é isso.",4,33,8.25
high_ratio,91329,Sim.,"Chegou o Capitão Vickers, senhor.",4,33,8.25
high_ratio,9874235,Pago,"Embalsamação, caixão, lápide pago",4,33,8.25
high_ratio,9766957,Não!,Já estou envergonhada que chegue.,4,33,8.25
high_ratio,11361646,Não.,Talvez esteja nos aposentos dele?,4,33,8.25
high_ratio,7839479,Sim.,Cada resultado deve ser distinto.,4,33,8.25
high_ratio,15462745,E lá!,E andar sobre tapetes de pétalas de rosa.,5,41,8.2
high_ratio,13387581,É.,Mostra o cómico.,2,16,8.0
high_ratio,14498729,Ok,Algo menos frio.,2,16,8.0
high_ratio,2860427,Sim.,"Quem acreditou no incrível, sim.",4,32,8.0
high_ratio,13475249,É.,"Sim, está certo.",2,16,8.0
high_ratio,11409634,É.,Isso é patético?,2,16,8.0
high_ratio,5365906,1987,Lisa hoberman renovação em 1997:,4,32,8.0
high_ratio,8455681,Wow.,Vamos agora verificar o Willard.,4,32,8.0
high_ratio,7844506,Ei?,O que estás a perseguir?,3,24,8.0
high_ratio,11792195,Não,Assusta-te o meu cabelo?,3,24,8.0
high_ratio,14692167,Bom.,"Agora, pede-lhe um refrigerante.",4,32,8.0
high_ratio,7231541,Eu,Ia perguntar-lhe,2,16,8.0
high_ratio,8359771,Ele,Foi isto que escreveu...,3,24,8.0
high_ratio,12890037,Olá!,"Quem, pelos demónios, são estes?",4,32,8.0
high_ratio,14738829,Eu.,Tentando controlar tudo.,3,24,8.0
high_ratio,3950519,E o,E o Capitão Chunk diz...,3,24,8.0
high_ratio,14951820,Wow.,Os reis magos parecem travestis.,4,32,8.0
high_ratio,12976859,Rei.,Não foi uma jogada regulamentar!,4,32,8.0
high_ratio,7843447,Vem,Não era eu que escolhia?,3,24,8.0
high_ratio,2387300,Oi.,"Olá, sou o David Sumner.",3,24,8.0
high_ratio,14522838,Viu?,"Pareces-te um pouco comigo, não?",4,32,8.0
high_ratio,4097946,É.,Guarda-me lugar.,2,16,8.0
high_ratio,582976,Não.,Atingimos algum dos seus homens?,4,32,8.0
high_ratio,5706643,É?,"Pois, eu também.",2,16,8.0
high_ratio,6102666,Um,Conheci um homem,2,16,8.0
high_ratio,8402692,É.,Precisamos dele.,2,16,8.0
high_ratio,14499515,Sim.,Estiveste mal na minha ausência?,4,32,8.0
high_ratio,14022949,Isto,"Sonia, ouve, é muito importante.",4,32,8.0
high_ratio,13573261,Fbi.,Federal Bureau of Investigation.,4,32,8.0
high_ratio,9608814,0,Mary- 0.,1,8,8.0
high_ratio,15648819,Ok.,Acabaram-se os anúncios.,3,24,8.0
high_ratio,1621059,E,E o mais,1,8,8.0
high_ratio,6493732,Oh.,Algum problema com Goth?,3,24,8.0
high_ratio,15316363,Oh!,CASA de CAMPO de MATILDA,3,24,8.0
