stage_entry,split,dataset,rows,data_path,referenced_by_configs,status,notes
stageA_opensubs_frmt_label_first_translation,valid,OpenSubs,160,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt_label_first_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt_label_first.yaml,actual_file,"This profile is built from stageA_opensubs_frmt translation files, then rewritten into label-first form with equal rows removed. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_frmt_translation,train,FRMT,5004,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py tops translation valid to 200 rows from the OpenSubs train file. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_frmt_translation,train,OpenSubs,20695766,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py tops translation valid to 200 rows from the OpenSubs train file. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_frmt_translation,valid,FRMT,40,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_frmt/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_plus_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_plus_frmt.yaml,actual_file,"build_translation_stageA_opensubs_frmt.py tops translation valid to 200 rows from the OpenSubs train file. Current deterministic top-up: 160 OpenSubs rows added to valid. This profile reports the literal source mix. For thesis interpretation, see the effective-train assumption profile below."
stageA_opensubs_only_classification,train,OpenSubs,17698911,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_clean/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageA_opensubs_frmt.yaml,expected_clean,"Counts follow export_encdec_data.py over train_data filtered to dataset=OpenSubs. OpenSubs contributes no source valid rows in train_data, so the exported valid file is empty. This clean-source profile intentionally ignores any legacy stageA_opensubs_only directory that may already have been augmented with PtBrVId rows."
stageA_opensubs_only_classification,valid,OpenSubs,0,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_clean/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageA_opensubs_frmt.yaml,expected_clean,"Counts follow export_encdec_data.py over train_data filtered to dataset=OpenSubs. OpenSubs contributes no source valid rows in train_data, so the exported valid file is empty. This clean-source profile intentionally ignores any legacy stageA_opensubs_only directory that may already have been augmented with PtBrVId rows."
stageA_opensubs_only_label_first_translation,train,OpenSubs,14702056,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_label_first_noequal/{split}.jsonl,,expected_clean,"build_translation_stageA_opensubs_frmt_label_first.py drops equal translation rows. Because the OpenSubs valid source file is empty, the label-first valid split is topped up to 200 rows from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_only_label_first_translation,valid,OpenSubs,200,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_label_first_noequal/{split}.jsonl,,expected_clean,"build_translation_stageA_opensubs_frmt_label_first.py drops equal translation rows. Because the OpenSubs valid source file is empty, the label-first valid split is topped up to 200 rows from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_only_label_first_with_cls_mixed,train,OpenSubs,29404112,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_only_label_first_with_cls.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only_label_first_with_cls.yaml,expected_clean,"build_stageB_gpt_wiki_frmt_label_first_with_cls.py is also used for the Stage A label-first+cls export. Equal translation rows are dropped by default and equal classification rows are always dropped. Because the source valid files are empty, the mixed valid split is topped up to 200 rows from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_only_label_first_with_cls_mixed,valid,OpenSubs,200,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_only_label_first_with_cls.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only_label_first_with_cls.yaml,expected_clean,"build_stageB_gpt_wiki_frmt_label_first_with_cls.py is also used for the Stage A label-first+cls export. Equal translation rows are dropped by default and equal classification rows are always dropped. Because the source valid files are empty, the mixed valid split is topped up to 200 rows from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_only_translation,train,OpenSubs,20695766,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_clean/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r16_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_only.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only.yaml,expected_clean,"Counts follow export_encdec_data.py over train_data filtered to dataset=OpenSubs. OpenSubs contributes no source valid rows in train_data, so the exported valid file is empty. This clean-source profile intentionally ignores any legacy stageA_opensubs_only directory that may already have been augmented with PtBrVId rows."
stageA_opensubs_only_translation,valid,OpenSubs,0,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_clean/translation_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r16_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r24_stageA_opensubs_only.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_frmt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only.yaml,expected_clean,"Counts follow export_encdec_data.py over train_data filtered to dataset=OpenSubs. OpenSubs contributes no source valid rows in train_data, so the exported valid file is empty. This clean-source profile intentionally ignores any legacy stageA_opensubs_only directory that may already have been augmented with PtBrVId rows."
stageA_opensubs_only_with_cls_mixed,train,OpenSubs,38394677,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_only_with_cls.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only_with_cls.yaml,expected_clean,"run_export_stageA_opensubs_only_with_cls.sh reuses build_stageB_gpt_wiki_frmt_translation_plus_cls.py. Because the source valid files are empty, the mixed valid split is topped up to 200 rows by sampling from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_only_with_cls_mixed,valid,OpenSubs,200,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_only_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_only_with_cls.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/translation_r48_stageA_opensubs_only_with_cls.yaml,expected_clean,"run_export_stageA_opensubs_only_with_cls.sh reuses build_stageB_gpt_wiki_frmt_translation_plus_cls.py. Because the source valid files are empty, the mixed valid split is topped up to 200 rows by sampling from train. Counts are kept as clean OpenSubs-only expected counts so a legacy contaminated on-disk export cannot inject duplicated PtBrVId rows into this thesis table."
stageA_opensubs_plus_ptbrvarid_classification_source_mix_clean,train,OpenSubs,5583112,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid/classification_{split}.jsonl,,expected_clean,"build_stageA_opensubs_ptbrvarid_cls.py augments Stage A classification with leftover PtBrVId rows excluded from the translated Stage B sample. The PtBrVId count is the unique leftover count computed from the filtered PtBrVId DuckDB plus the sampled-rows exclusion CSV; it does not use any previously augmented JSONL file. The OpenSubs classification side is downsampled to target a PtBrVId share of 0.33. This expected-clean profile is intentionally not overridden by on-disk JSONL counts, because legacy stageA_opensubs_only files may already contain duplicated/previously added PtBrVId rows."
stageA_opensubs_plus_ptbrvarid_classification_source_mix_clean,train,PtBrVId-Raw,2749891,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid/classification_{split}.jsonl,,expected_clean,"build_stageA_opensubs_ptbrvarid_cls.py augments Stage A classification with leftover PtBrVId rows excluded from the translated Stage B sample. The PtBrVId count is the unique leftover count computed from the filtered PtBrVId DuckDB plus the sampled-rows exclusion CSV; it does not use any previously augmented JSONL file. The OpenSubs classification side is downsampled to target a PtBrVId share of 0.33. This expected-clean profile is intentionally not overridden by on-disk JSONL counts, because legacy stageA_opensubs_only files may already contain duplicated/previously added PtBrVId rows."
stageA_opensubs_plus_ptbrvarid_classification_source_mix_clean,valid,OpenSubs,0,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid/classification_{split}.jsonl,,expected_clean,"build_stageA_opensubs_ptbrvarid_cls.py augments Stage A classification with leftover PtBrVId rows excluded from the translated Stage B sample. The PtBrVId count is the unique leftover count computed from the filtered PtBrVId DuckDB plus the sampled-rows exclusion CSV; it does not use any previously augmented JSONL file. The OpenSubs classification side is downsampled to target a PtBrVId share of 0.33. This expected-clean profile is intentionally not overridden by on-disk JSONL counts, because legacy stageA_opensubs_only files may already contain duplicated/previously added PtBrVId rows."
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal_mixed,train,OpenSubs,25334391,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A equal-translation-row export. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy equal-row attempts to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal_mixed,train,PtBrVId,2749891,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A equal-translation-row export. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy equal-row attempts to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal_mixed,valid,OpenSubs,174,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A equal-translation-row export. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy equal-row attempts to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal_mixed,valid,PtBrVId,26,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls_equal.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A equal-translation-row export. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy equal-row attempts to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_mixed,train,OpenSubs,19344937,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A export without equal translation rows. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_label_first_with_cls_noequal to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_mixed,train,PtBrVId,2749891,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A export without equal translation rows. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_label_first_with_cls_noequal to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_mixed,valid,OpenSubs,169,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A export without equal translation rows. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_label_first_with_cls_noequal to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_label_first_with_cls_mixed,valid,PtBrVId,31,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_label_first_with_cls_noequal/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls.yaml,actual_file,Actual file profile for the clean Setup 2 Stage A export without equal translation rows. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_label_first_with_cls_noequal to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_with_cls_mixed,train,OpenSubs,25334391,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_with_cls.yaml,actual_file,Actual file profile for the clean Setup 1 Stage A export derived from stageA_opensubs_plus_ptbrvarid. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_with_cls to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_with_cls_mixed,train,PtBrVId,2749891,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_with_cls.yaml,actual_file,Actual file profile for the clean Setup 1 Stage A export derived from stageA_opensubs_plus_ptbrvarid. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_with_cls to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_with_cls_mixed,valid,OpenSubs,174,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_with_cls.yaml,actual_file,Actual file profile for the clean Setup 1 Stage A export derived from stageA_opensubs_plus_ptbrvarid. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_with_cls to avoid duplicated PtBrVId counts.
stageA_opensubs_plus_ptbrvarid_with_cls_mixed,valid,PtBrVId,26,data/encoder_decoder/t5gemma2/compare_staged_v2/stageA_opensubs_plus_ptbrvarid_with_cls/{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/translation_fullft_stageA_opensubs_plus_ptbrvarid_with_cls.yaml,actual_file,Actual file profile for the clean Setup 1 Stage A export derived from stageA_opensubs_plus_ptbrvarid. This profile should be populated from the new clean on-disk JSONL after rebuilding; it is separated from legacy stageA_opensubs_only_with_cls to avoid duplicated PtBrVId counts.
stageB_gpt_refresh2_frmt_mix_classification,train,FRMT,4984,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_refresh2_frmt_mix/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageB_gpt_adapt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageB_gpt_adapt.yaml,actual_file,No deterministic fallback was computed here because the GPT refresh 2 exported JSONL files are not present in this workspace.
stageB_gpt_refresh2_frmt_mix_classification,train,GPT,1682,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_refresh2_frmt_mix/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageB_gpt_adapt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageB_gpt_adapt.yaml,actual_file,No deterministic fallback was computed here because the GPT refresh 2 exported JSONL files are not present in this workspace.
stageB_gpt_refresh2_frmt_mix_classification,valid,FRMT,40,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_refresh2_frmt_mix/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageB_gpt_adapt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageB_gpt_adapt.yaml,actual_file,No deterministic fallback was computed here because the GPT refresh 2 exported JSONL files are not present in this workspace.
stageB_gpt_refresh2_frmt_mix_classification,valid,GPT,92,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_refresh2_frmt_mix/classification_{split}.jsonl,configs/encoder_decoder/t5gemma2/comparison_staged/classification_head_fullft_stageB_gpt_adapt.yaml; configs/encoder_decoder/t5gemma2_4b/comparison_staged/classification_head_r24_stageB_gpt_adapt.yaml,actual_file,No deterministic fallback was computed here because the GPT refresh 2 exported JSONL files are not present in this workspace.
